0	55
1	99
2	85
3	121
4	223
5	315
6	482
7	948
8	1739
9	3581
10	9022
11	24864
12	11947
13	6861
14	4652
15	3589
16	2869
17	2313
18	1887
19	1721
20	1476
21	1365
22	1162
23	1107
24	992
25	937
26	867
27	726
28	692
29	582
30	555
31	489
32	479
33	434
34	413
35	361
36	349
37	293
38	266
39	259
40	237
41	232
42	231
43	193
44	168
45	164
46	145
47	131
48	158
49	163
50	131
51	122
52	121
53	104
54	105
55	103
56	109
57	90
58	80
59	85
60	91
61	61
62	75
63	76
64	74
65	69
66	70
67	67
68	72
69	60
70	55
71	58
72	55
73	57
74	52
75	53
76	49
77	50
78	45
79	49
80	55
81	46
82	46
83	34
84	40
85	27
86	47
87	41
88	42
89	38
90	29
91	36
92	30
93	35
94	23
95	38
96	38
97	38
98	38
99	32
100	37
101	28
102	25
103	29
104	24
105	39
106	19
107	19
108	32
109	30
110	15
111	19
112	29
113	26
114	27
115	18
116	27
117	24
118	18
119	19
120	13
121	23
122	18
123	17
124	22
125	17
126	15
127	20
128	15
129	15
130	18
131	18
132	17
133	14
134	17
135	18
136	23
137	15
138	10
139	15
140	18
141	11
142	20
143	18
144	17
145	26
146	13
147	17
148	12
149	16
150	11
151	19
152	16
153	7
154	13
155	19
156	8
157	11
158	19
159	12
160	18
161	16
162	18
163	14
164	12
165	15
166	17
167	19
168	15
169	18
170	10
171	15
172	6
173	16
174	11
175	17
176	17
177	10
178	13
179	17
180	13
181	14
182	13
183	15
184	15
185	13
186	10
187	15
188	9
189	21
190	10
191	14
192	10
193	13
194	12
195	17
196	16
197	7
198	12
199	14
200	11
201	20
202	14
203	29
204	18
205	15
206	12
207	21
208	10
209	21
210	15
211	16
212	20
213	31
214	20
215	20
216	17
217	19
218	19
219	24
220	19
221	22
222	21
223	19
224	34
225	28
226	29
227	17
228	20
229	26
230	18
231	25
232	42
233	37
234	52
235	48
236	63
237	69
238	88
239	107
240	117
241	122
242	175
243	216
244	238
245	275
246	359
247	482
248	625
249	805
250	1054
251	1583
252	3117
253	5788
254	10514
255	29230


0	0
1	0
2	0
